"nox"	"air_temp"
"366"	72.18019	1
"367"	202.70192	1
"368"	18.46771	1
"369"	21.38286	1
"370"	31.27787	1
"371"	5.53662	1
"372"	29.90527	1
"373"	10.1007	1
"374"	76.4561	1
"375"	132.58087	1
"376"	13.04919	1
"377"	39.73848	1
"378"	21.93666	1.1
"379"	24.45434	1.1
"380"	138.96776	1.1
"381"	38.66292	1.1
"382"	72.76009	1.1
"383"	9.8653	1.1
"384"	9.7365	1.1
"385"	17.05554	1.1
"386"	9.1413	1.1
"387"	20.06667	1.1
"388"	6.14905	1.2
"389"	44.03581	1.2
"390"	8.27469	1.2
"391"	14.45694	1.2
"392"	9.64034	1.2
"393"	15.76534	1.2
"394"	55.30449	1.2
"395"	15.85018	1.2
"396"	21.1545	1.2
"397"	22.49425	1.2
"398"	8.36596	1.2
"399"	10.56285	1.2
"400"	7.59831	1.2
"401"	22.47781	1.2
"402"	75.69159	1.2
"403"	11.49235	1.2
"404"	44.02982	1.2
"405"	15.16661	1.2
"406"	13.41266	1.3
"407"	4.16941	1.3
"408"	4.17541	1.3
"409"	24.07872	1.3
"410"	19.00188	1.3
"411"	10.97564	1.3
"412"	30.41055	1.3
"413"	11.84052	1.3
"414"	7.50251	1.3
"415"	13.853	1.3
"416"	33.06298	1.3
"417"	13.42856	1.3
"418"	26.3619	1.3
"419"	5.45349	1.3
"420"	12.21732	1.3
"421"	24.04149	1.3
"422"	30.24732	1.3
"423"	52.82286	1.3
"424"	45.77379	1.3
"425"	36.32532	1.3
"426"	20.34414	1.3
"427"	10.39685	1.3
"428"	5.01943	1.3
"429"	7.38152	1.3
"430"	11.46541	1.4
"431"	5.77304	1.4
"432"	40.59184	1.4
"433"	23.74026	1.4
"434"	58.12354	1.4
"435"	21.08533	1.4
"436"	34.37522	1.4
"437"	20.63182	1.4
"438"	15.9054	1.4
"439"	9.9682	1.4
"440"	32.75038	1.4
"441"	19.54867	1.4
"442"	11.0195	1.4
"443"	31.96511	1.4
"444"	19.52955	1.4
"445"	7.27441	1.4
"446"	18.90614	1.4
"447"	27.446	1.4
"448"	103.99205	1.4
"449"	169.53735	1.4
"450"	13.56276	1.4
"451"	160.9349	1.4
"452"	40.5756	1.4
"453"	26.43541	1.4
"454"	3.65626	1.5
